Ana Klasör,Alt Klasör,Kelime,Türkçe Anlamı,Tür,Seviye,Eş Anlamlılar,Örnek Cümle (İngilizce),Örnek Cümle (Türkçe)
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",importance,"önem, saygınlık, etki",isim,C1,,It's of no importance.,Bu önemli değil.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,important,"mühim, önemli, gururlu",sıfat,B2,,It's important to me.,Bu benim için önemli.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,impress,"iz bırakmak, hayran bırakmak, etkilemek",fiil,B2,,You don't impress me.,Beni etkilemiyorsun.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,impression,"izlenim, etki, baskı",isim,C1,,He makes a bad impression.,Kötü bir izlenim bırakıyor.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,impressive,"etkileyici, duyguları etkileyen, çarpıcı",sıfat,C1,dazzling,Tom's resume's impressive.,Tom'un özgeçmişi etkileyici.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,improper,"uygun olmayan, yersiz, çirkin",isim,B2,,The investigation highlighted the critical role of improper.,Soruşturma uygun olmayan kavramının kritik rolünü vurguladı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,improve,"geliştirmek, gelişmek, ilerletmek",fiil,B2,enhance,I'm trying to improve.,Geliştirmeye çalışıyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,improvement,"gelişim, ilerleme, iyileşme",isim,C1,,That would be an improvement.,Bu bir gelişme olur.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,improving,"düzeltme, iyileştirme, geliştirme",isim,B2,,He is improving in health.,"O, sağlıkta gelişmektedir."
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,in,"içeri, içinde, iç",edat,A1,,I'm in a fix.,Zor durumdayım.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,inadequate,"yetersiz, liyakatsiz, elverişsiz",fiil,C1,,I just feel a little inadequate.,Sadece biraz yetersiz hissediyorum.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,inappropriate,"uygun olmayan, yakışıksız, isabetsiz",fiil,C1,,I think it's inappropriate.,O bence uygun değil.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),incessantly,"aralıksız olarak, ardı arkası kesilmeden, biteviye",zarf,C1,,The empirical results of the study were remarkably incessantly.,Çalışmanın ampirik sonuçlarının son derece aralıksız olarak olduğu görüldü.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",incident,"hadise, olay, yük",isim,B2,,It was a small incident.,O küçük bir kazaydı.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,incline,"meyletmek, eğilmek, bayır",fiil,B2,,I'm inclined to agree.,Kabul etmeye eğilimliyim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,include,"katmak, içermek, kapsamak",fiil,B2,,Include me in your plans.,Planlarınıza beni ekleyin.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,including,"kapsama, içerme, şamil",sıfat,B2,,There are six people including him.,O dahil altı kişi var.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,inclusion,"derç, içine alma, katılma",isim,B2,,The investigation highlighted the critical role of inclusion.,Soruşturma derç kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,inclusive,"dahil, şümulu olan, içlemci",sıfat,B2,,The empirical results of the study were remarkably inclusive.,Çalışmanın ampirik sonuçlarının son derece dahil olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,inconvenient,"zahmetli, uygunsuz, zor",sıfat,C1,,I'm sure it's inconvenient.,Bunun sakıncalı olduğundan eminim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,increase,"arttırmak, artmak, çoğalmak",fiil,B2,,It was a huge increase.,Büyük bir artış oldu.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),increasingly,"gitgide artarak, gitgide, gittikçe artarak",zarf,C1,,Modern finance is becoming increasingly complicated and sophisticated.,Modern finans giderek karmaşık ve sofistike hale geliyor.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,incurable,"tedavi edilemez kimse, amansız, çaresiz",sıfat,B2,,They say it's incurable.,Bunun tedavi edilemez olduğu söyleniyor.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,independence,"özgürlük, bağımsızlık, serbestlik",isim,C1,,The nation recently declared its independence.,Ulus son zamanlarda bağımsızlığını ilan etti.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,independent,"bağımsız, müstakil, özgür",sıfat,C1,,He's an independent thinker.,O bağımsız bir düşünür.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),independently,"başlı başına, birbirini etkilemeden, müstakilen",zarf,C1,,The empirical results of the study were remarkably independently.,Çalışmanın ampirik sonuçlarının son derece başlı başına olduğu görüldü.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,indicate,"göstergesi olmak, belirtisi olmak, işaret etmek",fiil,B2,,A closed fist can indicate stress.,Kapalı bir yumruk stres gösterebilir.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,indication,"belirti, anlatma, ölçüm",isim,C1,,I see no indication of that ever happening.,Onun olup bittiğine dair bir işaret görmüyorum.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,indicative,"belirten, gösteren, haber kipi",sıfat,C1,,The empirical results of the study were remarkably indicative.,Çalışmanın ampirik sonuçlarının son derece belirten olduğu görüldü.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,indispensable,"zaruri, zorunlu, vazgeçilmez",sıfat,C1,,None of us are indispensable.,Hiçbirimiz vazgeçilmez değiliz.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,inefficient,"liyakatsiz, ehliyetsiz, zaman ve enerjiyi ekonomik bir şekilde kullanmayan",sıfat,C1,,The empirical results of the study were remarkably inefficient.,Çalışmanın ampirik sonuçlarının son derece liyakatsiz olduğu görüldü.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",inequality,"eşitsizlik, sapma, değişebilirlik",isim,C1,,No inequality should be allowed to exist between men and women.,Kadınlar ve erkekler arasında hiçbir eşitsizliğin var olmasına izin verilmemesi gerekir.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,infant,"bebek, çocuk, küçük çocuk",isim,B1,,The young woman was carrying an infant in her arms.,Genç kadın kollarında bir bebek taşıyordu.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,infants,"sübyan mektebi, sıbyan mektebi, çocuk kıyafeti",isim,B2,,We need more medical care for infants.,Bizim bebekler için daha fazla tıbbi bakıma ihtiyacımız var.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",infection,"enfeksiyon, bulaşma, iltihap",isim,B2,,I have an ear infection.,Bir kulak enfeksiyonum var.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,infectious,"bulaşıcı, başkalarına kolay geçen, intani",sıfat,C1,,Mumps is an infectious disease.,Kabakulak bulaşıcı bir hastalıktır.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,inflammatory,"iltihaplı, kışkırtıcı, yangılı",sıfat,C1,,The empirical results of the study were remarkably inflammatory.,Çalışmanın ampirik sonuçlarının son derece iltihaplı olduğu görüldü.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,influence,"tesir etmek, etkilemek, etki altına almak",isim,B2,,He's a bad influence.,Onun kötü bir etkisi var.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,influential,"etkili, etkileyici, ağababa",sıfat,C1,,We're not that influential.,O kadar etkili değiliz.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),influentially,"güçlü bir şekilde, etkili bir biçimde",zarf,C1,,The empirical results of the study were remarkably influentially.,Çalışmanın ampirik sonuçlarının son derece güçlü bir şekilde olduğu görüldü.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,information,"bilgi, ilmi vukuf, iddia",isim,C1,"knowledge, data, intel",I'd like some information.,Biraz bilgi istiyorum.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,ingenious,"ustalık, becerikli, maharetli",sıfat,B2,,The ingenious boy won a prize for his invention.,Becerikli genç buluşu için bir ödül kazandı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,ingredient,"cüz, bir şeyin terkibine giren madde, bileşim maddesi",isim,C1,,What's the secret ingredient?,Gizli madde nedir?
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,inhabit,"oturmak, iskan etmek, ikamet etmek",fiil,B2,,What animals inhabit those islands?,Şu adalarda hangi hayvanlar yaşar?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,inhabited,"meskun, iskan edilmiş, mekün",sıfat,B2,,The region has never been inhabited by people.,Bölgede insanlar hiç yaşamadı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,inheritance,"veraset, miras, kalıt",isim,C1,,I've already spent my inheritance.,Mirasımı çoktan harcadım.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,initial,"ilk harf, baş harf, baştaki",sıfat,B2,,That was my initial thought.,O benim ilk düşüncemdi.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),initially,"başlangıçta, ilkin, baştan",zarf,B2,,Initially I found it difficult to deal with my new environment.,Başlangıçta yeni ortamımla baş etmeyi zor buldum.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,initiate,"başlatmak, göstermek, üyeliğe kabul etmek",fiil,B2,,The research committee agreed to initiate the proposed methodology.,Araştırma komitesi önerilen metodolojiyi başlatmak konusunda mutabık kaldı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,injection,"püskürtme, enjekte, zerk",isim,B2,,The court condemned the man to death by lethal injection.,Mahkeme adamı öldürücü iğneyle ölüme mahkûm etti.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",injury,"zarar, halel, incinme",isim,B1,,Tom's injury isn't serious.,Tom'un sakatlığı ciddi değil.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,innocence,"masumluk, masum olma, günahsızlık",isim,B2,,She insisted on her innocence.,"O, masumiyeti konusunda ısrar etti."
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,innovative,"yaratıcı, yenilikçi, yeniliklere açık",sıfat,C1,,I try to be innovative.,Yenilikçi olmaya çalışıyorum.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,innovator,"yenilikçi, yenilik yapan kimse, mucit",isim,B2,,The investigation highlighted the critical role of innovator.,Soruşturma yenilikçi kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,innovators,yenilikçiler,isim,C1,,The investigation highlighted the critical role of innovators.,Soruşturma yenilikçiler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,inoculation,"aşılama, aşı, aşılanma",isim,C1,,The investigation highlighted the critical role of inoculation.,Soruşturma aşılama kavramının kritik rolünü vurguladı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,inside,"iç taraf, içeri, içte",edat,B1,,I'll see you inside.,Seni içeride göreceğim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,insider,"içeriden biri, içerideki, iç yüzünü bilen kimse",isim,B2,,The investigation highlighted the critical role of insider.,Soruşturma içeriden biri kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,insight,"içyüzünü anlama, anlayış, içgörü",isim,B2,knowledge,Thank you for your insight.,Anlayışınız için teşekkürler.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,instant,"anlık, esna, dakika",sıfat,B2,,It changed in an instant.,Bir anda değişti.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,instinct,"içgüdü, iç güdü, yetenek",isim,B2,,She's acting on instinct.,"O, içgüdüyle hareket ediyor."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,instructor,"eğitmen, eğitici, asistan",isim,C1,,Is your brother a ski instructor?,Erkek kardeşin kayak eğitmeni mi?
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,instrument,"enstrüman, alet, belgit",isim,C1,,Do you play an instrument?,Bir enstrüman çalıyor musun?
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,instruments,"edevat, araç gereç, araçlar",isim,C1,,Do you play any instruments?,Herhangi bir müzik aleti çalıyor musun?
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,insufficient,"kıt, yetersiz, yeterli değil",sıfat,C1,,His knowledge of geography is insufficient.,Onun coğrafya bilgisi yetersizdir.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),intellectually,"anlayarak, akıl ile, zeka ile",zarf,C1,,The discussion was intellectually stimulating.,Münazara entelektüel olarak aydınlatıcıydı.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,intelligence,"istihbarat, zeka, akıl",isim,C1,,Don't insult my intelligence.,Benim zekama hakaret etmeyin.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,intend,"niyet etmek, demek istemek, niyeti olmak",fiil,B1,,I intend to do so.,Ben öyle yapmak niyetindeyim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,intense,"yoğun, gergin, istekli",sıfat,B2,,The pain was very intense.,Ağrı çok yoğundu.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,intensity,"yoğunluk, koyuluk, gerilim",isim,B2,,He was overwhelmed by the intensity of her love.,"O, onun sevgisinin yoğunluğuyla bunalmıştı."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,intensive,"yoğun, şiddetli, aşırı",sıfat,B2,,The two gunshot victims are in the intensive care unit at a nearby hospital.,İki kurşun mağduru yakındaki bir hastanede yoğun bakım ünitesinde bulunmaktadır.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),intentionally,"kasten, kasıtlı olarak, taammüden",zarf,C1,,Did you do that intentionally?,Sen onu kasıtlı olarak mı yaptın?
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,interactions,"ayrık etkileşimler, elektron-fonon etkileşimleri, geçişim etkileşimleri",isim,C1,,The investigation highlighted the critical role of interactions.,Soruşturma ayrık etkileşimler kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,interest,"ilgilendirmek, çıkar, faiz",isim,B2,,They don't interest me.,Onlar beni ilgilendirmiyor.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,interference,"karışma, müdahale, girişim",isim,C1,,The investigation highlighted the critical role of interference.,Soruşturma karışma kavramının kritik rolünü vurguladı.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,international,"devletlerarası, enternasyonal, milletlerarası",sıfat,C1,,The drug problem is international.,Uyuşturucu problemi uluslararasıdır.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,internet,"internet, ağlararası ağ, edalyan",isim,B2,,How do I access the Internet?,İnternete nasıl erişirim?
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,interrupt,"sekte vurmak, söze karışmak, kesmek",fiil,B2,,"Don't interrupt me, Tom.","Sözümü kesme, Tom."
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,interruption,"sekte, kesinti, kesilme",isim,C1,,We're sorry for the interruption.,Böldüğümüz için üzgünüz.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,interruptions,"kısa kesintiler ve gerilim değişmeleri ile ilgili bağışıklık deneyleri, kısa kesintiler, makine denetim kesilmeleri",isim,C1,,He doesn't allow interruptions.,"O, kesintilere izin vermez."
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,intervene,"araya girmek, müdahale etmek, arada olmak",fiil,B2,,I don't want to intervene.,Müdahale etmek istemiyorum.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,intervention,"araya girme, müdahale, aracılık",isim,C1,,The investigation highlighted the critical role of intervention.,Soruşturma araya girme kavramının kritik rolünü vurguladı.
Kütüphane: Bağlaçlar & Edatlar,Koşul ve Eklemeler,into,"içine, şekline, biçimine",edat,B1,,I got into my car.,Arabama bindim.
Kütüphane: Akademik Fiiller,B2 İleri Akademik Fiiller,introduce,"tanıtmak, tanıştırmak, içeri sokmak",fiil,B2,,Let me introduce my wife.,Karımı tanıtmama izin ver.
Kütüphane: Akademik İsimler,C1 Üst Düzey Akademik İsimler,introduction,"giriş, tanıtım, tavsiye mektubu",isim,C1,,Thank you for the introduction.,Tanıtım için teşekkür ederim.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,invent,"icat etmek, yumurtlamak, düzmek",fiil,B1,,We should invent a secret language.,Gizli bir dil icat etmemiz gerek.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,invented,"icat edilmiş, uydurmasyon, icat edilen",sıfat,B2,,It was invented by Tom.,Bu Tom tarafından icat edildi.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,invention,"buluş, icat, düzen",isim,B2,,Paper is a Chinese invention.,Kağıt bir Çin icadıdır.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,invest,"yatırım yapmak, birine yetki vermek, yetki vermek",fiil,B1,,We must invest in our future.,Geleceğimize yatırım yapmalıyız.
Kütüphane: Akademik Fiiller,C1 Üst Düzey Paragraf Fiilleri,investigate,"araştırmak, soruşturmak, incelemek",fiil,C1,,Let's go and investigate.,Gidelim ve araştıralım.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,investigated,"soruşturulmuş, incelenmiş, araştırılmış",sıfat,C1,,We investigated the matter from all angles.,Konuyu tüm açılardan araştırdık.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",investigation,"soruşturma, araştırma, teftiş",isim,C1,,Am I under investigation now?,Şimdi soruşturma altında mıyım?
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",investigations,"soruşturmalar, tahkikat, taharriyat",isim,C1,,The investigation highlighted the critical role of investigations.,Soruşturma soruşturmalar kavramının kritik rolünü vurguladı.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",investigator,"müfettiş, dedektif, araştırmacı",isim,C1,researcher,I'm a private investigator.,Ben özel bir müfettişim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,involved,"ilgili, karmaşık, girift",sıfat,B2,,I can't get involved.,Ben karışamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,iq,"zeka düzeyi, zeka katsayısı, ıq",isim,B1,,I don't know my IQ.,Ben zeka düzeyimi bilmiyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,iron,"ütülemek, demir, ütü",isim,B1,,Is it made of iron?,Bu demirden mi yapıldı?
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,irritable,"asabi, titiz, barut gibi",sıfat,B2,,He is always a little irritable in the morning.,"O, her zaman sabahleyin biraz asabidir."
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,irritated,"sinirli, sinirlendirilmiş, öfkeli",sıfat,B2,,I know you're irritated.,Sinirli olduğunuzu biliyorum.
Kütüphane: Sıfatlar & Zarflar,C1 İleri Niteleme Sıfatları,irritating,"rahatsız etme, sinirlendirme, sinir",sıfat,C1,,Sometimes you're so irritating.,Sen bazen çok rahatsız edicisin.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,is,"olmak, -dir, -dır",fiil,B1,,He is a bad boy.,O kötü bir çocuk.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,isolation,"izolasyon, tecrit, soyutlanma",isim,B2,,We shouldn't confuse solitude with isolation. They are two separate things.,Yalnızlık ile izole edilmeyi birbirine karıştırmamak gerek. Bunlar iki farklı şey.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,issue,"mesele, sorun, yayınlamak",isim,B1,,It's not an issue.,Sorun değil.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,issues,sorunlar,isim,B1,,I had issues I had to deal with.,Uğraşmam gereken sorunlarım vardı.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,it,"ona, ilişki, ebe",zamir,B1,,I can't do it.,Onu yapamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,item,"kalem, madde, adet",isim,B1,,What is this item called?,Bu maddeye ne denir?
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,its,"onun, -in",isim,B1,,It's on its way.,Yolda.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,jacket,"ceket, kaplamak, kap",isim,A1,,I need a new jacket.,Yeni bir cekete ihtiyacım var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,jail,"hapishane, hapis, cezaevi",isim,B1,,I'm now in jail.,Şimdi hapisteyim.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,jailer,"gardiyan, zindancı",isim,B1,,The investigation highlighted the critical role of jailer.,Soruşturma gardiyan kavramının kritik rolünü vurguladı.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,job,"görev, iş, ufak tefek işler yapmak",isim,A1,,I'm on the job.,İş üzerindeyim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,jogging,"hafif koşu, jogging, koşu",isim,B2,,I don't like jogging.,Koşudan hoşlanmıyorum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,join,"birleştirmek, katılmak, katmak",fiil,B1,,I can't join you.,Size katılamam.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,joke,"komiklik, şaka, espri yapmak",isim,B1,,It's not a joke.,O bir şaka değil.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,jokes,"şaka yapmak, fıkra anlatmak, şakalar yapmak",fiil,B1,,I like Tom's jokes.,Tom'un şakaları severim.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,journey,"yolculuk, seyahat, yolculuk etmek",isim,B2,,It's a long journey.,Bu uzun bir yolculuk.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,joyful,"sevinçli, şatır, sevindirici",sıfat,B1,,Christmas is a joyful time.,Noel neşeli bir zamandır.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,jump,"sıçramak, zıplamak, atlamak",fiil,B1,,I'm going to jump.,Atlayacağım.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,jumping,"atlama, sıçrama, sıçrayış",isim,B2,,Stop jumping on the bed.,Yatakta zıplamayı kes.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,jungle,"orman, karışıklık, cangıl",isim,B1,,We're not in the jungle.,Biz cangılda değiliz.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,just,"sadece, adil, yalnızca",fiil,B1,,I'm just a boy.,Ben sadece bir çocuğum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,keep,"tutmak, saklamak, kept - kept",fiil,B1,,I can't keep it.,Bunu saklayamam.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,keeping,"geçindirme, bakım, koruma",isim,B2,,I'm keeping a secret.,Sır tutuyorum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,keys,"anahtarlar, ana resimler",isim,B1,,I'll get my keys.,Anahtarlarımı alacağım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,kid,"velet, çocuk, küçük çocuk",isim,B1,,I'm a big kid.,Ben büyük bir çocuğum.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,kidney,"böbrek, huy, tip",isim,B1,,I need a new kidney.,Yeni bir böbreğe ihtiyacım var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,kids,çocuklar,isim,B1,,I don't have kids.,Çocuklarım yok.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,kill,"katletmek, öldürmek, öldürme",fiil,B1,,I won't kill you.,Seni öldürmeyeceğim.
Kütüphane: Akademik İsimler,"Alan Odaklı İsimler (Sağlık, Fen & Sosyal)",killer,"öldürücü, katil, öldürücü darbe",isim,B1,,I'm not a killer.,Ben bir katil değilim.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,kind,"tür, çeşit, cins",sıfat,B1,,He's kind to me.,O bana karşı nazik.
Kütüphane: Sıfatlar & Zarflar,Akademik Zarflar (-ly / Derece),kindly,"merhametli, iyi, içten",zarf,B1,,You will be treated kindly.,Size nazikçe davranılacak.
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,kitchen,"mutfak, kuzine, nevale",isim,A1,,I'm in the kitchen.,Mutfaktayım.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,km,"kilometre, km",isim,B1,,"They fly about 35,000 km in eight months.","Onlar sekiz ayda yaklaşık 35,000 km uçarlar."
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,knife,"bıçak, kesmek, arkadan vurmak",isim,A1,,I've got a knife.,Bir bıçağım var.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,knives,bıçaklar,isim,B1,,They're armed with knives.,Onlar bıçaklarla silahlanmıştı.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,knowing,"haberdar, haberi olan, bilen",sıfat,B2,,It was nice knowing you.,Seninle tanışmak güzeldi.
Kütüphane: Akademik İsimler,B2 İleri Akademik İsimler,knowledge,"bilgi, ilim, bili",isim,B2,"information, wisdom, insight, awareness",I had no such knowledge.,Benim böyle bir bilgim yoktu.
Kütüphane: Sıfatlar & Zarflar,B1-B2 Sık Çıkan Akademik Sıfatlar,known,"bilinen, bilindik, malum",sıfat,B1,,I've always known it.,Onu her zaman tanıyordum.
Kütüphane: Akademik Fiiller,B1 Temel Sınav Fiilleri,knows,"tanışık çıkmak, tanış çıkmak, allah bilir!",fiil,B1,,He knows who I am.,Kim olduğumu biliyor.
Kütüphane: Akademik İsimler,B1 Temel Akademik İsimler,lamb,"kuzu, kuzulamak, kuzu gibi masum ve zayıf kimse",isim,B1,,The wolf killed the lamb.,"Kurt, kuzuyu öldürdü."
Kütüphane: Temel Kelimeler (A1-A2),Günlük İsimler ve Mekanlar,lamp,"ampul, lamba, aydınlatmak",isim,A1,,I turned on a lamp.,Bir lamba yaktım.
