Kelime,Toplam Tekrar Sayısı,Bulunduğu Video Sayısı
kalkmaya,1,1
metrek,1,1
insan,1,1
ortama,1,1
arta,1,1
uyum,1,1
nefes,1,1
iyisinizdir,1,1
neler,1,1
listemizde,1,1
sordu,1,1
aralara,1,1
dikkatini,1,1
sor,1,1
olamaz,1,1
reel,1,1
mers,1,1
ilan,1,1
sosyalden,1,1
programda,1,1
durdur,1,1
benimle,1,1
hangisinden,1,1
inceliyoruz,1,1
fenciler,1,1
vermedim,1,1
gruplara,1,1
kategorize,1,1
amama,1,1
velakin,1,1
fiziki,1,1
ortamlarda,1,1
derslerdeki,1,1
listeler,1,1
indirmeniz,1,1
yaramaz,1,1
tarihten,1,1
ngiliz,1,1
kazanmama,1,1
tarih,1,1
seviyorsan,1,1
hakims,1,1
sosyalle,1,1
mezunuyum,1,1
girsem,1,1
isin,1,1
elere,1,1
gerekebilir,1,1
getirebilmesini,1,1
tara,1,1
kinci,1,1
yetmez,1,1
saatten,1,1
bilemedim,1,1
saatle,1,1
ilerlemeni,1,1
geliyorsa,1,1
ilerliyorsa,1,1
geldiysen,1,1
ediyorsun,1,1
sisteme,1,1
teslim,1,1
hasarla,1,1
deneyip,1,1
layarak,1,1
tempoda,1,1
saate,1,1
edinmek,1,1
yapamayabilirsin,1,1
ediyorsunuz,1,1
bitirebilirsiniz,1,1
lere,1,1
bitecek,1,1
ezberleyin,1,1
kafaya,1,1
inceleyecek,1,1
incelenmez,1,1
formatta,1,1
kalmayana,1,1
masadan,1,1
kalkmayacak,1,1
haziran'da,1,1
gireceksiniz,1,1
kitleyin,1,1
oturun,1,1
su,1,1
kalem,1,1
silgi,1,1
dene,1,1
kapat,1,1
kalk,1,1
kontrol,1,1
gelmeyebilir,1,1
ilerliyoruz,1,1
havuzla,1,1
almakla,1,1
dolu,1,1
yapmak,1,1
katmaz,1,1
eksikliklerini,1,1
sorulma,1,1
kana,1,1
roma,1,1
kaynaklara,1,1
nelere,1,1
bul,1,1
kare,1,1
kodla,1,1
onlardan,1,1
faydalanabilirsin,1,1
alabilirsin,1,1
kimsenin,1,1
istemiyorum,1,1
yapmakla,1,1
basitten,1,1
hal,1,1
netin,1,1
alman,1,1
olman,1,1
karm,1,1
saatlerce,1,1
aylarca,1,1
arap,1,1
emanetsin,1,1
manidar,1,1
tarihte,1,1
vicdana,1,1
insafa,1,1
esprisi,1,1
sevindim,1,1
bulundum,1,1
kitlemiz,1,1
hepinize,1,1
kazanan,1,1
ilminiz,1,1
bilginiz,1,1
sesleniyorum,1,1
kendinize,1,1
derledim,1,1
biliyorsunuz,1,1
benziyor,1,1
atlamaya,1,1
proficiency'ye,1,1
sistemini,1,1
taktikler,1,1
stratejiler,1,1
bilgini,1,1
yoruma,1,1
nise,1,1
videolarla,1,1
tutarak,1,1
ngilizcem,1,1
derecek,1,1
seviyedeydi,1,1
ezberiyle,1,1
sony,1,1
geneldeki,1,1
vermedi,1,1
bel,1,1
edebiliriz,1,1
vermelisin,1,1
zerin,1,1
gelebildim,1,1
ezbereydi,1,1
anlamak,1,1
hak,1,1
getirsin,1,1
okumak,1,1
zannediyorsun,1,1
seriye,1,1
ydi,1,1
sanal,1,1
kaybetmeyin,1,1
iddia,1,1
ddia,1,1
serilere,1,1
sistemlere,1,1
defterleri,1,1
onlara,1,1
tusa,1,1
girelim,1,1
orucum,1,1
motorum,1,1
tus'a,1,1
kahvesini,1,1
antakya'ya,1,1
gelmemiz,1,1
dursun,1,1
kahveyi,1,1
herkesi,1,1
biriyim,1,1
ngilizceyle,1,1
paralel,1,1
notlar,1,1
bedel,1,1
ettirebilir,1,1
dilci,1,1
anatomi,1,1
tedaviler,1,1
yenilikler,1,1
biliyorlar,1,1
destekle,1,1
platformlardaki,1,1
bela,1,1
derslere,1,1
paralar,1,1
gidiyorsun,1,1
geliyorsun,1,1
youtube'daki,1,1
fisiye,1,1
resmi,1,1
affetsin,1,1
bizi,1,1
zikrederdik,1,1
ekstrem,1,1
videodan,1,1
tak,1,1
ortaokuldan,1,1
dersiyle,1,1
takibinde,1,1
edatlara,1,1
isimli,1,1
anadolu,1,1
lisesi,1,1
sistemiyle,1,1
bulamayanlar,1,1
konu,1,1
isteyenler,1,1
erdem,1,1
hizmet,1,1
dersleriyle,1,1
yetersiz,1,1
isteyen,1,1
sizlere,1,1
okuyun,1,1
neye,1,1
sistemine,1,1
bk,1,1
yazabiliyor,1,1
dilinden,1,1
hikayelerine,1,1
hikayeler,1,1
korktum,1,1
sunuca,1,1
diyelim,1,1
tez,1,1
vakitte,1,1
vk,1,1
sellier,1,1
salier,1,1
izlemeyi,1,1
fikirlerinizi,1,1
elbette,1,1
edinimi,1,1
sonki,1,1
edinirsiniz,1,1
yazmayla,1,1
dinler,1,1
dilin,1,1
nimetlerini,1,1
yiyeceksiniz,1,1
eklemek,1,1
clause,1,1
bilgisini,1,1
gitme,1,1
deneyimledim,1,1
tutturarak,1,1
bitirince,1,1
sanmal,1,1
ilerleyip,1,1
kelimeyi,1,1
duyuyor,1,1
istemsizce,1,1
ekleyerek,1,1
ilerliyor,1,1
ifadesini,1,1
clause'un,1,1
temelini,1,1
ekini,1,1
yor,1,1
eki,1,1
sonig'in,1,1
verb,1,1
oturmaya,1,1
pes,1,1
yolunuza,1,1
hocad'dan,1,1
emekle,1,1
edilmesi,1,1
seneki,1,1
dilim,1,1
bilgilerinizden,1,1
yararlanabilseydim,1,1
yapacak,1,1
eminisiz,1,1
aleyna,1,1
korkutuyordu,1,1
oturdu,1,1
elimden,1,1
gayret,1,1
kompleks,1,1
inceleyerek,1,1
bunca,1,1
saatlik,1,1
harcayan,1,1
yerlere,1,1
gitmenize,1,1
ferhat,1,1
hallederim,1,1
zamandan,1,1
bitiremememe,1,1
yapmamama,1,1
oturtmamda,1,1
nihan,1,1
dild'den,1,1
sindirerek,1,1
denedim,1,1
segment,1,1
netlerim,1,1
okudum,1,1
vermek,1,1
gelip,1,1
ederseniz,1,1
hediye,1,1
kayboldun,1,1
hah,1,1
anlayabildim,1,1
emekler,1,1
dile'e,1,1
etkilemez,1,1
kullanabiliyorsunuz,1,1
haftaki,1,1
tus,1,1
tahminen,1,1
neresinden,1,1
nesnesi,1,1
fiili,1,1
fiilimse,1,1
bilmeyen,1,1
serinizi,1,1
stajlar,1,1
bitirip,1,1
incelemen,1,1
bodoslamadan,1,1
dalarak,1,1
paket,1,1
ettik,1,1
tabirlerimizi,1,1
optikte,1,1
diyebilirim,1,1
yorumumu,1,1
okuyacak,1,1
tavsiyemdir,1,1
tutsunlar,1,1
demesinler,1,1
birden,1,1
setiniz,1,1
hikayeleri,1,1
esinlen,1,1
tanesi,1,1
benziyordur,1,1
dinlediysen,1,1
bilemeden,1,1
olursan,1,1
biriysen,1,1
taklit,1,1
edilmeye,1,1
taklitler,1,1
dilimde,1,1
yoruldum,1,1
diyaframm,1,1
geride,1,1
mevcut,1,1
dahilinde,1,1
nakit,1,1
kaybetmeniz,1,1
seviyesi,1,1
evliyi,1,1
nsanlar,1,1
kendinden,1,1
kesit,1,1
viral,1,1
enfeksiyonel,1,1
sorum,1,1
ettiremedim,1,1
net,1,1
nazar,1,1
acil,1,1
toparlanmaya,1,1
damla,1,1
kullanmaya,1,1
pekala,1,1
kahveni,1,1
mutluyum,1,1
dediklerinizin,1,1
harfiyen,1,1
bilemiyorum,1,1
istemem,1,1
erken,1,1
isteseydim,1,1
talep,1,1
edebilirsiniz,1,1
tekrarlar,1,1
kullanabilirsiniz,1,1
ediyoruz,1,1
denemek,1,1
yds'de,1,1
mesele,1,1
azim,1,1
dolsun,1,1
ilerleyemedim,1,1
bakmaya,1,1
bitiremedim,1,1
hissediyorum,1,1
alsam,1,1
beklentimiz,1,1
kanaatinde,1,1
hayallerim,1,1
azmedip,1,1
stili,1,1
metne,1,1
bakabildim,1,1
eksiklerim,1,1
nedenle,1,1
halledeceksiniz,1,1
tahmin,1,1
edemiyorum,1,1
dinlemeye,1,1
engeliniz,1,1
buralardan,1,1
miktar,1,1
hatalar,1,1
yapabilirdim,1,1
gayretiniz,1,1
tradit,1,1
faydalanmak,1,1
isterim,1,1
sevmeyen,1,1
tayfa,1,1
sefa,1,1
diyorsunuz,1,1
emizar,1,1
diyenleriniz,1,1
bakarken,1,1
sanki,1,1
duyar,1,1
gelebilir,1,1
diyerek,1,1
basiti,1,1
buradalarda,1,1
noktalarda,1,1
tutmuyordum,1,1
gide,1,1
ramazan'la,1,1
izin,1,1
sabaha,1,1
geceyi,1,1
kastediyor,1,1
izliyordum,1,1
kelimelerime,1,1
unutuyor,1,1
oluyorken,1,1
tablo,1,1
zamanlarda,1,1
dindirme,1,1
azaltma,1,1
konseptleri,1,1
koruyarak,1,1
olana,1,1
noktalama,1,1
durup,1,1
anlayaraktan,1,1
aktarmaya,1,1
kesik,1,1
kesif,1,1
sonlara,1,1
anlam,1,1
anlatamam,1,1
patlatma,1,1
dakikada,1,1
olursunuz,1,1
olmaz,1,1
atlatanlar,1,1
sabredenler,1,1
hayret,1,1
eklemeye,1,1
onlarla,1,1
etmeme,1,1
heyecanla,1,1
tahminiyle,1,1
uzunca,1,1
yazabilirim,1,1
ziyaretinize,1,1
afaki,1,1
getirirseniz,1,1
sayfada,1,1
nimet,1,1
cidden,1,1
konular,1,1
bilgim,1,1
hissettim,1,1
erteliyordum,1,1
karar,1,1
ziyade,1,1
bitirdikten,1,1
makalelerini,1,1
okuyordum,1,1
kopuktum,1,1
hocamla,1,1
verimsiz,1,1
uykuyla,1,1
sunan,1,1
videodaki,1,1
yapabilir,1,1
miyim,1,1
seer,1,1
belirli,1,1
yaymak,1,1
videosunu,1,1
izledikten,1,1
harfiyle,1,1
alacak,1,1
matematik,1,1
bilimlerinden,1,1
taki,1,1
alabiliyorum,1,1
seviyorlar,1,1
yazmaya,1,1
mal,1,1
mottoyla,1,1
kurguluyorum,1,1
didem,1,1
normalde,1,1
tenslerde,1,1
tersi,1,1
performans,1,1
akademiden,1,1
ezberim,1,1
tens'lerin,1,1
versem,1,1
sizce,1,1
ezberlemekle,1,1
ezberleyerekten,1,1
ezberleyeceksin,1,1
analizde,1,1
ezberledim,1,1
paragraflardan,1,1
ezber,1,1
kullanma,1,1
becerini,1,1
puanlardan,1,1
tutunun,1,1
yaz,1,1
tekrarlara,1,1
verin,1,1
beyzah,1,1
diyordum,1,1
nil,1,1
bilmiyordum,1,1
serinize,1,1
izlemeleri,1,1
stemsiz,1,1
edecekler,1,1
kodlayaraktan,1,1
izlerken,1,1
halil,1,1
kazanmak,1,1
adres,1,1
girin,1,1
bilmeyince,1,1
iletiyorum,1,1
etsin,1,1
dinleyin,1,1
geldiyseniz,1,1
bilsem,1,1
dahi,1,1
unutuyorum,1,1
etmezdim,1,1
bilene,1,1
bilmeyene,1,1
ortaya,1,1
ileriye,1,1
sorunu,1,1
anlayabiliyorsunuz,1,1
keyif,1,1
etmenizi,1,1
ederken,1,1
dikkat,1,1
etmeniz,1,1
listesinin,1,1
listesiyle,1,1
tutmak,1,1
videodakiler,1,1
dersleri,1,1
etmememe,1,1
ti,1,1
unutu,1,1
ngilizcemi,1,1
listeye,1,1
gelmeseydim,1,1
senelerdir,1,1
hayalden,1,1
ibaretti,1,1
ufak,1,1
gerisi,1,1
saran,1,1
harflerle,1,1
sevincinden,1,1
okulla,1,1
telafi,1,1
kapanana,1,1
vermezken,1,1
sorunuzu,1,1
telefon,1,1
bildiklerinizi,1,1
ahirette,1,1
edersiniz,1,1
bitiremeden,1,1
kaynaklarla,1,1
doktora,1,1
sisteminizde,1,1
yapabilmek,1,1
sonsuz,1,1
kalbinizden,1,1
mukabele,1,1
oda,1,1
sallama,1,1
emir,1,1
kutlu,1,1
davul,1,1
etsek,1,1
umutsuzdum,1,1
yapamam,1,1
seviniyorum,1,1
oluyorum,1,1
gurur,1,1
duyuyorum,1,1
hepinizle,1,1
kalplerle,1,1
sevincini,1,1
dus,1,1
yeterliydi,1,1
kisinden,1,1
senedir,1,1
olmadan,1,1
yaram,1,1
sallayarak,1,1
denemeler,1,1
biliyordum,1,1
mart'ta,1,1
hocaya,1,1
emekleri,1,1
bilmeyenler,1,1
muhakkak,1,1
puanlar,1,1
muazzam,1,1
olmasa,1,1
diyemiyorum,1,1
bitsin,1,1
anlayabiliyordum,1,1
sevindiriciydi,1,1
soruyla,1,1
edici,1,1
ihtimali,1,1
psikolojik,1,1
zamanlardan,1,1
eksiklerimi,1,1
yapmamam,1,1
hissi,1,1
dualar,1,1
insana,1,1
doluyor,1,1
youtube'dan,1,1
kocaman,1,1
kocam,1,1
kiye,1,1
araya,1,1
girdi,1,1
hastanede,1,1
mesaiye,1,1
doldurdum,1,1
kanaldaki,1,1
ingilizcesi,1,1
nokta,1,1
vermeden,1,1
iyilikler,1,1
seviyorum,1,1
sevgi,1,1
yolumuz,1,1
sofrada,1,1
bildiklerimi,1,1
toparlamama,1,1
instagram'dan,1,1
bulunduk,1,1
umutsuz,1,1
alabilirdim,1,1
panik,1,1
lerden,1,1
buralara,1,1
bunda,1,1
istersen,1,1
sevdirensin,1,1
isteyebiliriz,1,1
zikret,1,1
mucizesiniz,1,1
izlemelisiniz,1,1
yokte,1,1
yetiyordu,1,1
desem,1,1
ettiniz,1,1
oldunuz,1,1
derseniz,1,1
birebir,1,1
hayattan,1,1
dilerseniz,1,1
tebrikler,1,1
sucum,1,1
nisan'da,1,1
almam,1,1
hedefe,1,1
sefer,1,1
hayatta,1,1
gururluyum,1,1
yice,1,1
oturttum,1,1
derece,1,1
puandan,1,1
olabilirsiniz,1,1
gibiler,1,1
unutmayacak,1,1
umutla,1,1
hatay'da,1,1
okuyorum,1,1
derslerinizdeki,1,1
arka,1,1
planda,1,1
problemleri,1,1
sisteminiz,1,1
kavrayabildim,1,1
kincisi,1,1
kendimdeki,1,1
alabildim,1,1
geceler,1,1
zamanda,1,1
okul,1,1
kpss,1,1
yandan,1,1
ilerliyordum,1,1
yapabiliyordum,1,1
anki,1,1
yoktan,1,1
nisan,1,1
demem,1,1
manada,1,1
denemeden,1,1
ocak'ta,1,1
iki'ye,1,1
listenizi,1,1
dinlerken,1,1
olduk,1,1
konteynerdaki,1,1
resimler,1,1
telefonunuz,1,1
zorluklara,1,1
isterken,1,1
emeklerinizi,1,1
azminiz,1,1
sunucum,1,1
paragraflara,1,1
hepimiz,1,1
istemedim,1,1
yorumlarda,1,1
gezinmeni,1,1
benzeyen,1,1
daldan,1,1
atlama,1,1
esnada,1,1
kaynakla,1,1
listesini,1,1
izleme,1,1
rafa,1,1
bitimi,1,1
bittikten,1,1
denemesiyle,1,1
